gene name,Closeness unDir,Degree unDir,Eccentricity unDir,Radiality unDir
ATF1,0.000275634,439,0.333333333,3.198609732
NOL3,0.000258799,183,0.333333333,3.08142999
CDC25A,0.000273973,468,0.5,3.187686197
MKI67,0.000286862,615,0.333333333,3.269116187
KLK2,0.000251572,82,0.333333333,3.026315789
PRKAA2,0.000266738,314,0.333333333,3.138530288
SRY,0.000249128,49,0.333333333,3.006951341
RPA1,0.000276855,533,0.333333333,3.206554121
ZNF318,0.000265252,277,0.333333333,3.128103277
KDM3A,0.000265322,273,0.333333333,3.128599801
MAST2,0.000260417,205,0.333333333,3.093346574
FOXA1,0.000260688,208,0.333333333,3.095332671
CTDSP2,0.000256805,142,0.333333333,3.06653426
TNFRSF10B,0.000259673,211,0.333333333,3.087884806
HMMR,0.000274273,461,0.333333333,3.189672294
KAT7,0.000270636,358,0.333333333,3.165342602
TERF2,0.000274876,450,0.333333333,3.193644489
BACH1,0.000266383,301,0.333333333,3.136047666
RRM1,0.0002886,741,0.333333333,3.279543198
ZMIZ1,0.000268601,330,0.333333333,3.151439921
SMYD2,0.000261097,206,0.333333333,3.098311817
DLG1,0.00027571,431,0.333333333,3.199106256
APBB1,0.000255885,133,0.333333333,3.05958292
PRKAB1,0.000261506,225,0.333333333,3.101290963
MLH1,0.00027972,524,0.333333333,3.224925521
UBA3,0.000269324,328,0.333333333,3.156405164
CEBPD,0.000266028,302,0.333333333,3.133565045
FOXO1,0.000270929,385,0.333333333,3.167328699
DDB2,0.000276014,454,0.333333333,3.201092354
CFLAR,0.000261712,258,0.333333333,3.102780536
TRAF2,0.00026448,310,0.333333333,3.122641509
AP3B2,0.000251446,66,0.333333333,3.025322741
PGC,0.000252461,83,0.333333333,3.03326713
KDM4C,0.000262467,228,0.333333333,3.108242304
ESR1,0.000280741,578,0.333333333,3.231380338
E2F1,0.000277546,538,0.5,3.21102284
MSH2,0.000295508,785,0.5,3.319761668
HIP1,0.000267023,304,0.333333333,3.140516385
ECM1,0.000251067,77,0.333333333,3.022343595
CCNG2,0.000272628,401,0.333333333,3.178748759
RPA3,0.000288434,679,0.5,3.278550149
E2F4,0.000265393,305,0.333333333,3.129096326
AURKA,0.000277393,530,0.333333333,3.210029791
CSTF1,0.000265887,315,0.333333333,3.132571996
GDF15,0.000259605,187,0.333333333,3.087388282
PTK2B,0.000273,432,0.333333333,3.18123138
ELAVL1,0.000277316,487,0.333333333,3.209533267
CCNE1,0.000266241,324,0.333333333,3.135054618
EP300,0.000286123,686,0.333333333,3.264647468
RIPK1,0.000268312,390,0.333333333,3.149453823
TERF1,0.000265463,288,0.333333333,3.12959285
TP53I3,0.000256871,144,0.333333333,3.067030785
TK1,0.000277085,522,0.333333333,3.208043694
PDGFB,0.000258264,172,0.333333333,3.077457795
HRAS,0.000266383,313,0.333333333,3.136047666
TRIM22,0.00026824,337,0.333333333,3.148957299
STAT1,0.000269397,399,0.333333333,3.156901688
EI24,0.000260349,192,0.333333333,3.09285005
BARD1*KDG*,0.000302206,910,0.5,3.357000993
RARG,0.000255037,125,0.333333333,3.053128103
FOXO3,0.000263992,277,0.333333333,3.119165839
AKR1B1,0.000258799,178,0.333333333,3.08142999
TYMS,0.000273673,411,0.333333333,3.185700099
HIPK1,0.000280348,507,0.333333333,3.228897716
TFF1,0.000251572,78,0.333333333,3.026315789
XRCC3,0.000259673,190,0.333333333,3.087884806
RAD54L,0.000274801,436,0.333333333,3.193147964
SIVA1,0.000256016,130,0.333333333,3.060575968
NR2C2,0.000272851,396,0.333333333,3.180238332
SUMO1,0.000285551,627,0.5,3.261171797
EEF1E1,0.000265534,301,0.333333333,3.130089374
TPX2,0.00028177,584,0.333333333,3.237835154
