gene name,Betweenness unDir,Stress unDir
ARIH2,1476.001665,58140
PLCG2,3080.128626,113288
TOR1A,810.3296224,32976
ZNF148,653.6557424,25682
CSF2,347.7408328,11458
CIT,5380.183486,201618
RELN,2849.251218,94850
PTPRC,2878.22368,121496
PARP4,1053.49301,42700
FBL,3725.823284,163736
RNF8,632.9049149,28448
ESRRA,318.9720471,9568
RFXAP,1862.227718,84838
SLC29A1,1301.252001,56088
DGKA,1465.825993,53510
NR1H3,778.852688,24078
PJA2,2813.833247,106952
DTYMK,867.4827839,45364
FGFR1OP,1183.60791,46602
IL1A,1315.452967,45940
LIG3,1645.363149,77754
PKIA,1129.623068,43776
GRB14,1913.263741,69170
C12orf29,421.30017,20190
PAK2,2827.698785,137214
RAB28,1020.221234,49794
MPHOSPH9,1826.227909,89504
HELZ,1574.572863,62826
ING3,910.9852352,43262
SMIM8,280.4590687,9134
CDC5L,1387.633333,69886
RANBP9,1271.932563,58218
FEM1B,1407.626771,58188
MAP4K1,2023.660169,73932
KPNA5,1002.759346,40592
KPNA2,2720.439017,138248
BAZ1A,2920.983474,131994
CRK,1936.822155,78792
APP,11960.04271,514678
KPNA3,2043.254311,90418
ATF6,930.0407019,39224
EIF4E,3364.131454,146396
SLC43A1,554.5672801,17302
LIF,828.8014605,20820
CENPI,506.6076431,24890
YWHAB,2746.430718,108212
GART,2588.142213,133762
ACYP1,1917.704802,82106
SOX4,2165.845437,93128
TPR,1017.263511,55830
HMGN1,1314.257559,74666
NR2C1,1125.979017,46698
PDCD4,2934.395579,120450
RBM38,1522.005866,56754
NGFR,2831.995085,95252
IL2RG,2035.948785,70468
CKAP5,1768.233492,92926
TARBP1,1547.611978,58936
RUNX1,4847.360513,196242
TTLL12,491.2117345,18744
SIAH1,2739.656096,119488
DCP2,1212.19454,54640
CDK13,1478.862332,74252
ICOS,2899.684673,110552
KIAA1033,1468.082636,69502
SH2B2,902.0255069,32104
XPO1,5954.530118,297928
CYLD,339.3648925,13572
CLP1,1637.017169,62768
S1PR1,528.4309563,18010
MS4A2,242.2570869,9786
PTGS1,1477.975104,54842
BLK,1982.14,79522
EIF2AK1,558.6652075,30622
H3F3B,1261.256224,46922
ANAPC10,1820.656012,81076
NASP,1464.998468,76304
CCNT1,1423.978869,66582
PUM2,3526.908202,159360
E2F5,1812.413188,72194
RAB2A,1306.508912,57610
PSEN2,1177.988961,39602
GPD2,1007.074799,38802
TWIST1,570.3080654,20226
PRPF18,1331.407876,63194
WDR77,2995.613568,130850
SENP6,1978.418172,82808
SLC25A4,783.4527116,29950
CUL4A,1343.456113,58384
AGTPBP1,183.1368214,6770
LCK,1844.261594,79882
IL1B,1030.739967,49016
IL4R,1091.117337,42626
CD80,754.5810053,25866
LY9,944.3116466,28732
ACD,1471.831452,56038
CELF1,1545.116465,66872
STAU2,1885.374326,87556
LEP,780.0579563,20082
